#{"t_start": 1764081868.5235157, "env_id": "None"}
r,l,t
-34.25,27,16.630346
-42.65,31,16.647164
-37.25,23,16.656374
-33.65,24,16.665296
-48.9,38,16.685962
-34.18,21,16.694917
-31.6,23,16.713668
-44.9,33,16.72636
-42.85,34,16.746784
-36.05,25,16.763821
-24.73,17,16.771268
-23.624,16,16.778408
-32.95,23,16.797476
-35.2,24,16.80664
-45.65,36,16.828371
-38.1,30,16.839369
-34.65,25,16.858559
-32.4,23,16.867167
-32.3,24,16.876157
-33.95,23,16.895178
-40.8,29,16.90641
-33.95,24,16.922248
-43.65,34,16.93508
-36.7,29,16.956213
-35.8,29,16.966834
-36.4,28,16.97784
-29.93,21,16.993709
-32.55,25,17.003002
-37.25,30,17.021115
-31.9,26,17.030743
-33.35,25,17.040004
-38.4,27,17.05655
-42.6,33,17.069577
-38.65,30,17.089795
-39.65,32,17.100803
-36.15,28,17.119087
-43.2,34,17.131091
-33.85,24,17.14832
-37.35,24,17.157939
-39.2,31,17.176057
-30.565,23,17.185925
-30.1,22,17.200972
-27.6,21,17.216551
-36.55,24,17.225409
-35.35,25,17.234404
-30.35,22,17.253444
-42.55,30,17.268616
-39.15,31,17.291691
-35.35,27,17.300764
-37.75,28,17.312006
-28.61,17,17.327425
-32.05,23,17.335429
-36.0,29,17.353072
-28.23,19,17.360069
-33.6,25,17.371932
-39.1,24,17.391021
-29.45,22,17.399024
-31.5,26,17.408192
-36.1,26,17.425924
-32.85,26,17.434586
-31.2,22,17.455189
-33.55,24,17.463209
-38.35,29,17.473662
-39.6,29,17.493935
-34.25,25,17.50211
-37.0,29,17.522225
-32.2,25,17.53522
-48.3,38,17.559136
-39.75,29,17.569836
-37.1,29,17.590536
-33.75,28,17.600655
-40.3,33,17.617387
-41.55,31,17.642534
-39.5,30,17.653666
-34.35,28,17.678884
-33.465,27,17.689885
-31.05,24,17.708368
-33.33,25,17.718163
-31.75,25,17.727164
-27.28,17,17.742668
-37.55,29,17.754786
-42.85,33,17.77616
-31.28,23,17.785184
-38.95,26,17.795163
-34.95,29,17.816854
-31.6,25,17.826984
-30.15,24,17.84726
-39.15,31,17.8574
-32.73,24,17.874201
-31.45,27,17.884133
-28.95,23,17.893131
-38.85,30,17.910949
-37.35,26,17.921723
-36.55,28,17.942171
-28.23,19,17.953206
-32.115,25,17.964746
-28.18,21,17.981708
-38.7,30,17.992692
-35.2,28,18.010199
-53.7,46,18.02887
-38.8,34,18.054137
-36.25,24,18.063138
-37.75,30,18.088824
-24.001,15,18.095789
-31.63,23,18.107835
-43.6,33,18.135185
-36.55,30,18.146182
-36.2,29,18.164753
-39.8,33,18.176798
-34.35,28,18.19482
-29.08,23,18.202847
-35.2,29,18.21184
-35.0,28,18.229469
-39.9,32,18.239474
